revision,method,frequency_nyquist,radial_power_db,radial_anisotropy_db
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.6328125,1.1689208910262965,-1.3300980133015818
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.6484375,1.992974968751854,-1.4790950219097598
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.6640625,2.486144060181992,-0.8690035064699563
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.6796875,3.0141759266006267,-1.1540444756166617
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.6953125,2.6854184333856113,-1.95334138810902
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.7109375,2.6500974247510434,-1.546957371647809
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.7265625,2.5663209523289576,-1.7187907413835597
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.7421875,2.5749926848400695,-1.9359506921306393
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.7578125,2.6296860607427304,-0.32783957074790254
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.7734375,2.4855023935265055,-0.3170625692902832
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.7890625,2.536465865807647,0.16965793726749895
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.8046875,2.53627862925031,1.28487916043692
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.8203125,2.44272149652149,0.5522916345243609
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.8359375,2.0884559626671715,0.4754919621681802
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.8515625,2.1131457550051373,1.621841351548083
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.8671875,1.293090620479449,0.3880666987681331
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.8828125,1.6250295599677345,2.5438994543709956
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.8984375,1.0657083853777538,1.3273263067650785
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.9140625,1.1033214583566806,2.318024248584273
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.9296875,0.5586812275053061,1.2022851866221924
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.9453125,0.13821589343873025,0.40415153249282026
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.9609375,-0.1281654352194562,0.14228240754332097
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.9765625,-0.5143039592703821,0.9069133062677909
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,jajuni,0.9921875,-0.6600789725338219,0.2780878597788059
