fixture,mode,threads,iteration,position,encode_ms,decode_ms
snake-fhd,256-fs,8,5,6,61.983166,8.779541
snake-fhd,256-none,8,5,7,34.702042,4.368083
revisit,high,8,5,8,9.118458,3.457625
revisit,256-fs,8,5,9,7.950125,0.867167
revisit,256-none,8,5,10,7.150125,0.443708
gray,high,8,5,11,0.321792,0.272625
gray,256-fs,8,5,12,0.829125,0.321
gray,256-none,8,5,13,0.799333,0.271625
gradient,high,8,5,14,2.614125,1.133166
gradient,256-fs,8,5,15,10.372,1.2775
gradient,256-none,8,5,16,4.910709,0.418458
autumn,high,8,5,17,15.723125,3.929209
gradient,256-none,8,6,0,4.910167,0.44625
gradient,256-fs,8,6,1,10.32875,1.020667
gradient,high,8,6,2,2.578375,1.067666
gray,256-none,8,6,3,0.806083,0.31275
gray,256-fs,8,6,4,0.859167,0.288292
gray,high,8,6,5,0.351334,0.324875
revisit,256-none,8,6,6,7.556208,0.422167
revisit,256-fs,8,6,7,8.112583,0.936125
revisit,high,8,6,8,9.302708,3.515208
snake-fhd,256-none,8,6,9,35.432,4.627667
snake-fhd,256-fs,8,6,10,61.9365,8.721667
snake-fhd,high,8,6,11,58.050416,16.547833
snake,256-none,8,6,12,10.824084,1.420709
snake,256-fs,8,6,13,15.559417,1.854292
snake,high,8,6,14,14.857125,4.376334
autumn,256-none,8,6,15,8.685208,1.893042
autumn,256-fs,8,6,16,9.615125,1.916667
autumn,high,8,6,17,16.012625,4.108625
gradient,256-none,8,7,0,4.773792,0.512
autumn,high,8,7,1,15.830041,4.009375
autumn,256-fs,8,7,2,9.48075,1.834125
autumn,256-none,8,7,3,8.414,1.686708
snake,high,8,7,4,14.818167,4.379708
snake,256-fs,8,7,5,15.584333,1.836333
snake,256-none,8,7,6,11.060625,1.544625
snake-fhd,high,8,7,7,57.663834,16.84825
snake-fhd,256-fs,8,7,8,62.760333,8.689333
snake-fhd,256-none,8,7,9,35.0415,4.33925
revisit,high,8,7,10,9.393625,3.345209
revisit,256-fs,8,7,11,7.914292,0.860584
revisit,256-none,8,7,12,7.203208,0.38625
gray,high,8,7,13,0.343125,0.312666
gray,256-fs,8,7,14,0.98175,0.277209
gray,256-none,8,7,15,0.803917,0.272042
gradient,high,8,7,16,2.49725,1.008959
gradient,256-fs,8,7,17,10.650833,1.0135
gradient,high,8,8,0,2.658625,1.078209
gray,256-none,8,8,1,0.833208,0.252083
gray,256-fs,8,8,2,0.830709,0.271291
gray,high,8,8,3,0.331375,0.326917
revisit,256-none,8,8,4,7.140917,0.425625
revisit,256-fs,8,8,5,7.829958,0.904625
revisit,high,8,8,6,9.390042,3.322125
snake-fhd,256-none,8,8,7,35.603458,4.368834
snake-fhd,256-fs,8,8,8,60.6745,8.786208
snake-fhd,high,8,8,9,57.919084,16.984125
snake,256-none,8,8,10,10.893083,1.482083
snake,256-fs,8,8,11,14.923,1.780708
snake,high,8,8,12,14.98675,4.484041
autumn,256-none,8,8,13,8.586459,1.775833
autumn,256-fs,8,8,14,9.774125,2.272334
autumn,high,8,8,15,15.707208,4.059208
gradient,256-none,8,8,16,4.617542,0.373417
gradient,256-fs,8,8,17,10.615208,1.076834
gradient,high,8,9,0,2.5125,1.020208
gradient,256-fs,8,9,1,10.822625,1.107
gradient,256-none,8,9,2,4.673834,0.385459
autumn,high,8,9,3,15.82175,4.065333
autumn,256-fs,8,9,4,9.92475,1.883916
autumn,256-none,8,9,5,8.662958,1.866208
snake,high,8,9,6,14.876334,4.47625
snake,256-fs,8,9,7,15.527458,1.870667
snake,256-none,8,9,8,10.918459,1.446375
snake-fhd,high,8,9,9,57.810541,16.719333
snake-fhd,256-fs,8,9,10,62.63625,8.641541
snake-fhd,256-none,8,9,11,35.454083,4.403292
revisit,high,8,9,12,9.728166,3.337458
revisit,256-fs,8,9,13,7.771666,0.815666
revisit,256-none,8,9,14,7.139458,0.404667
